sku,source_row_number,reasons,source_name,operational_name,source_description,operational_description,source_length_mm,source_width_mm,source_height_mm,source_outer_l_mm,source_outer_w_mm,source_outer_h_mm,operational_length_m,operational_width_m,operational_height_m,source_weight_kg,operational_weight_kg,source_cubic_m3,operational_cubic_m3,source_pallet,source_derived_cp,operational_cp,possible_unit_scale_warning,draft_name,draft_description,draft_dimensions,draft_weight,draft_cubic,draft_freight_type,previously_resolved_detected,identical_source_detected,bulk_safety_status,bulk_safety_issues,related_draft_memory_payloads_json
RECESS-KIT,33194,,H Tile Frame & Covers x 2,H Tile Frame & Covers x 2,H Tile Frame & Covers x 2,H Tile Frame & Covers x 2,2300.000000,1100.000000,800.000000,2300.0,1100.0,800.0,2.3000,1.1000,0.8000,1520.000000,1520.0000,2.024000,2.024000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
RT130,33573,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Brake Tester,Brake Tester,Brake Tester,Brake Tester,0.000000,0.000000,0.000000,3000.0,800.0,820.0,3.0000,0.8000,0.8200,1390.000000,1390.0000,3.634000,3.634000,3.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
RT187-2,33581,WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Roller Brake Tester,Roller Brake Tester,Roller Brake Tester,Roller Brake Tester,1600.000000,1200.000000,1500.000000,1600.0,1200.0,1500.0,1.6000,1.2000,1.5000,1050.000000,2100.0000,1.440000,2.880000,2.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
RT40,33603,,Roller Brake Tester,Roller Brake Tester,Roller Brake Tester,Roller Brake Tester,2400.000000,800.000000,600.000000,2400.0,800.0,600.0,2.4000,0.8000,0.6000,450.000000,450.0000,1.152000,1.152000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
S0857-700,33675,WEIGHT_DIFFERENT | CUBIC_DIFFERENT,H Frame & Covers,H Frame & Covers,H Frame & Covers,H Frame & Covers,2600.000000,1100.000000,600.000000,2600.0,1100.0,600.0,2.6000,1.1000,0.6000,435.000000,870.0000,0.858000,1.716000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
S0857-S1,33676,WEIGHT_DIFFERENT | CUBIC_DIFFERENT,H Frame & Covers,H Frame & Covers,H Frame & Covers,H Frame & Covers,2600.000000,1100.000000,600.000000,2600.0,1100.0,600.0,2.6000,1.1000,0.6000,435.000000,870.0000,0.858000,1.716000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SB40,33840,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Two Post Hoist,Two Post Hoist,Two Post Hoist,Two Post Hoist,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,672.000000,800.0000,1.312000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SB40-MP-24-3PH,33845,DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT | POSSIBLE_MM_CM_SCALE,SB40 Power Unit 3PH,SB40 Power Unit 3PH,SB40 Power Unit 3PH,SB40 Power Unit 3PH,800.000000,240.000000,340.000000,8000.0,2400.0,3400.0,8.0000,2.4000,3.4000,23.100000,24.0000,0.003300,0.049000,1.000000,P,P,TL_APPROX_0.1X_OPERATIONAL,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SB40RAL7016,33846,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist 3 Phase,Two Post Hoist 3 Phase,Two Post Hoist 3 Phase,Two Post Hoist 3 Phase,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SB40RAL70161PH,33847,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist 1 Phase,Two Post Hoist 1 Phase,Two Post Hoist 1 Phase,Two Post Hoist 1 Phase,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SB40RAL70163PH,33848,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist 3 Phase,Two Post Hoist 3 Phase,Two Post Hoist 3 Phase,Two Post Hoist 3 Phase,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SB45WB-G,33849,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Bradbury Wash Bay Galv 2 PARTS,Bradbury Wash Bay Galv 2 PARTS,Bradbury Wash Bay Galvanised Hoist 2 PARTS,Bradbury Wash Bay Galvanised Hoist 2 PARTS,0.000000,0.000000,0.000000,2930.0,1120.0,400.0,2.9300,1.1200,0.4000,825.000000,770.0000,1.795000,1.313000,2.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245,35131,,Two Post Hoist,Two Post Hoist,Two Post Hoist,Two Post Hoist,2950.000000,1150.000000,500.000000,2950.0,1150.0,500.0,2.9500,1.1500,0.5000,800.000000,800.0000,1.696000,1.696000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-17-55,35132,,SM245-17-55,SM245-17-55,Carton,Carton,100.000000,100.000000,80.000000,100.0,100.0,80.0,0.1000,0.1000,0.0800,1.000000,1.0000,0.001000,0.001000,0.000000,C,C,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-A-17,35133,,SM245-A-17,SM245-A-17,Carton,Carton,200.000000,150.000000,150.000000,200.0,150.0,150.0,0.2000,0.1500,0.1500,4.000000,4.0000,0.005000,0.005000,0.000000,C,C,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-B,35136,,Two Post Hoist,Two Post Hoist,Two Post Hoist,Two Post Hoist,2950.000000,1150.000000,500.000000,2950.0,1150.0,500.0,2.9500,1.1500,0.5000,800.000000,800.0000,1.696000,1.696000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-BRAL2002,35137,,Two Post Hoist,Two Post Hoist,Two Post Hoist,Two Post Hoist,2950.000000,1150.000000,500.000000,2950.0,1150.0,500.0,2.9500,1.1500,0.5000,800.000000,800.0000,1.696000,1.696000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-BRAL5002,35138,,Two Post Hoist,Two Post Hoist,Two Post Hoist,Two Post Hoist,2950.000000,1150.000000,500.000000,2950.0,1150.0,500.0,2.9500,1.1500,0.5000,800.000000,800.0000,1.696000,1.696000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-BRAL5015,35139,,Two Post Hoist,Two Post Hoist,Two Post Hoist,Two Post Hoist,2950.000000,1150.000000,500.000000,2950.0,1150.0,500.0,2.9500,1.1500,0.5000,800.000000,800.0000,1.696000,1.696000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-BRAL6001,35140,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Emerald Green,Two Post Hoist Emerald Green,Two Post Hoist Emerald Green,Two Post Hoist Emerald Green,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-BRAL9005,35141,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Jet Black,Two Post Hoist Jet Black,Two Post Hoist Jet Black,Two Post Hoist Jet Black,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-ELA,35143,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT | WEIGHT_DIFFERENT | CUBIC_DIFFERENT,Rear LgArms 880-1560mm +LokGrs,Rear LgArms 880-1560mm +LokGrs,Rear Long Arms Set (880mm - 1560mm)Incl.Lock Gears,Rear Long Arms Set (880mm - 1560mm)Incl.Lock Gears,0.000000,0.000000,0.000000,0.0,0.0,0.0,1.0500,0.2000,0.2000,0.000000,110.0000,0.000000,0.042000,0.000000,C,C,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-KTAS,35144,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist for Kmart,Two Post Hoist for Kmart,Two Post Hoist for Kmart,Two Post Hoist for Kmart,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-Q,35154,,Two Post Hoist Quarantined,Two Post Hoist Quarantined,Two Post Hoist Quarantined,Two Post Hoist Quarantined,2950.000000,1150.000000,500.000000,2950.0,1150.0,500.0,2.9500,1.1500,0.5000,800.000000,800.0000,1.696000,1.696000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245-SHORT,35155,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Short Version,Two Post Hoist Short Version,Two Post Hoist Short Version,Two Post Hoist Short Version,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245COPP,35157,,Two Post Hoist Antique Copper,Two Post Hoist Antique Copper,Two Post Hoist Antique Copper,Two Post Hoist Antique Copper,2950.000000,1150.000000,500.000000,2950.0,1150.0,500.0,2.9500,1.1500,0.5000,800.000000,800.0000,1.696000,1.696000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245EXPP,35158,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Excl PowerPack,Two Post Hoist Excl PowerPack,Two Post Hoist Excluding Power Pack and Control Box,Two Post Hoist Excluding Power Pack and Control Box,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
SM245Q,35159,SOURCE_DIMENSIONS_ZERO | DIMENSIONS_DIFFERENT,Two Post Hoist Quarantined,Two Post Hoist Quarantined,Two Post Hoist Quarantined,Two Post Hoist Quarantined,0.000000,0.000000,0.000000,3000.0,1150.0,400.0,3.0000,1.1500,0.4000,800.000000,800.0000,1.380000,1.380000,1.000000,P,P,,,,,,,,False,False,UNKNOWN_DRAFT,,[]
